name,iban,bic,amount,reference,address,favorite_store
Richard Petit,ES1000492352082414205416,POPUESMM,14215.62,Payment 2025548,"Piazza Garibaldi 506, 98069 Vienna",Plus
Philippe Richter,DE44500105175407324931,INGDDEFFXXX,838.75,Payment 2025603,"Piazza Garibaldi 353, 25262 Malaga",Conad
Russo Holdings,AT611904300234573201,BKAUATWWXXX,11157.12,Consulting 2026801,"Corso Italia 95, 17916 Bordeaux",Rewe
Michael Miller,BE71096123456769,GKCCBEBB,25275.51,Consulting 2026128,"Corso Italia 792, 89317 Paris",Conad
David Brown,FR1420041010050500013M02606,BNPAFRPPXXX,40670.39,Salary 2025225,"Schulstrasse 421, 72783 Florence",Real
Juan Popa,DE44500105175407324931,COBADEFFXXX,12934.92,Retainer 2026020,"Calle Real 982, 69647 Lille",Leclerc
Antonio Bernard,ES9121000418450200051332,SABSESMMXXX,18250.14,Bonus 2024604,"High Street 391, 43796 Amsterdam",Carrefour
Michael Rodriguez,ES9121000418450200051332,SABSESMMXXX,7266.23,Maintenance 2026846,"Corso Italia 133, 34048 Brussels",Dia
Lukas Gonzalez,DE62370400440532013001,DEUTDEFFXXX,31203.24,Fee 2025888,"Via Milano 368, 15494 Hamburg",Rewe
Michel Schaefer,RO76BTRL01304205R50067XX,RNCBROBU,16168.48,License 2026553,"Schulstrasse 849, 65124 Seville",Alcampo
Francesco Ferrari,NL91ABNA0417164300,ABNANL2AXXX,31094.53,Maintenance 2025377,"Park Road 426, 90419 Marseille",Alcampo
Dubois Services,DE27100777770209299700,BYLADEM1XXX,14653.57,Maintenance 2025481,"Rue de la Paix 669, 57706 Antwerp",Esselunga
Giovanni Martinez,CH9300762011623852957,POFICHBEXXX,44290.93,Salary 2026376,"Rue du Commerce 730, 80999 Eindhoven",Dia
Carlos Hernandez,AT483200000012345864,BKAUATWWXXX,21403.13,Fee 2026182,"Piazza Garibaldi 332, 16783 Seville",Dia
Giuseppe Fischer,AT611904300234573201,RLNWATWWXXX,28146.45,Subscription 2025236,"Bulevardul Unirii 776, 37881 Barcelona",Mercadona
Noah Robert,ES7921000813610123456789,BBVAESMM,28487.97,License 2024095,"Station Road 876, 40612 Venice",Esselunga
Ana Meyer,NL02ABNA0123456789,RABONL2UXXX,43565.36,Salary 2024894,"Strada Principala 582, 29506 Paris",Plus
Gheorghiu Consulting,AT611904300234573201,RLNWATWWXXX,33989.72,Support 2025632,"Hauptstrasse 399, 89240 Rotterdam",Penny
Francesco Meyer,RO09BCYP0000001234567890,BCYPROBUXXX,17090.96,Services 2025124,"Via Nazionale 959, 65233 Seville",Penny
Ana Rossi,BE68539007547034,AXABBE22XXX,8217.06,Payment 2026035,"Strada Principala 628, 17228 Toulouse",Albert Heijn
Paul Schulz,FR1420041010050500013M02606,CEPAFRPP415,41618.84,Consulting 2025982,"Bulevardul Unirii 377, 16339 Vienna",Esselunga
Giuseppe Weber,RO09BCYP0000001234567890,BTRLRO22XXX,48169.33,Fee 2026184,"High Street 857, 15940 Vienna",Lidl
Antonio Colombo,BE71096123456769,GEBABEBB,1114.37,Retainer 2025423,"Schulstrasse 214, 63933 Venice",Carrefour
Jean Rossi,IT40S0542811101000000123456,BCITITMM,40759.67,Retainer 2026367,"Piazza Garibaldi 454, 94529 Turin",Denner
Gabriela Stoica,RO76BTRL01304205R50067XX,BRDEROBUXXX,11243.21,Services 2025858,"Manor Road 611, 99362 Brussels",Leclerc
Schulz International,IT28W8000000292100645211111,BPPIITRRXXX,29566.40,License 2026346,"Gartenstrasse 965, 58549 Seville",Casino
Richard Martinez,DE91100000000123456789,INGDDEFFXXX,15127.47,Refund 2025270,"Calea Victoriei 836, 40044 Turin",Coop Schweiz
Smith Services,NL02ABNA0123456789,RABONL2UXXX,25800.30,Refund 2025857,"Victoria Street 218, 49328 Nice",Jumbo
Julia Hoffmann,IT60X0542811101000000123456,BLOPIT22XXX,7575.49,Credit Note 2025893,"Via Roma 575, 62138 Munich",Conad
Alain Johnson,RO49AAAA1B31007593840000,INGBROBU,41924.95,Retainer 2025266,"Manor Road 864, 42284 Barcelona",Carrefour Romania
Smith Trading,ES7921000813610123456789,SABSESMMXXX,16719.20,Maintenance 2026072,"Victoria Street 151, 37136 Milan",Carrefour Romania
Rodriguez Corporation,IT40S0542811101000000123456,INTESA,29465.66,Salary 2026198,"Corso Italia 442, 12488 Brussels",Coop Schweiz
Jonas Popa,FR1420041010050500013M02606,BNPAFRPPXXX,36656.96,Contract 2024528,"Strada Principala 648, 51551 Milan",Esselunga
Alessandro Rodriguez,AT611904300234573201,GIBAATWWXXX,15843.72,Contract 2026706,"Strada Principala 475, 75883 Dresden",Denner
Laura Stan,BE71096123456769,GKCCBEBB,28046.71,Subscription 2025752,"Bulevardul Unirii 751, 56187 Naples",Auchan
Andrei Rossi,DE62370400440532013001,DRESDEFF100,1925.62,Advance 2024125,"Corso Italia 17, 20504 Amsterdam",Mercadona
Daniela Stoica,IT40S0542811101000000123456,BCITITMM,2308.14,Refund 2025770,"Kirchweg 430, 30078 Rome",Carrefour Italia
Barbu Technologies,DE62370400440532013001,DEUTDEFFXXX,9792.38,Order 2024334,"Via Milano 841, 20840 Amsterdam",Aldi
Andrei Romano,BE68539007547034,GKCCBEBB,3277.89,Credit Note 2026435,"Manor Road 545, 19861 Naples",Conad
Mia Mueller,DE89370400440532013000,DEUTDEFFXXX,34242.20,Maintenance 2025097,"Station Road 292, 71348 Bilbao",Denner
Fischer KG,IT28W8000000292100645211111,INTESA,11384.82,Maintenance 2024852,"Via Roma 139, 69909 Madrid",Conad
Sophie Garcia,CH5604835012345678009,UBSWCHZHXXX,6129.96,Services 2025332,"Main Street 89, 43315 Milan",Kaufland
Julia Fischer,CH9300762011623852957,CRESCHZZXXX,439.08,Support 2026279,"Green Lane 556, 84329 Lille",Auchan
Alain Tudor,BE68539007547034,GKCCBEBB,5268.86,Bonus 2024086,"Avenida Principal 986, 36744 Stuttgart",Dia
Williams KG,BE71096123456769,GEBABEBB,27760.53,Fee 2024804,"Church Street 855, 35463 Vienna",Coop
Paul Ionescu,FR7612548029989876543210843,BNPAFRPPXXX,30581.84,Fee 2026211,"Calea Victoriei 770, 92719 Bologna",Mega Image
Gonzalez International,AT483200000012345864,GIBAATWWXXX,29049.51,Credit Note 2024916,"Boulevard Victor Hugo 255, 23096 Vienna",Denner
Carlos Ferrari,CH5604835012345678009,POFICHBEXXX,46888.88,Salary 2026551,"Piazza Garibaldi 86, 98624 Geneva",Rewe
Giuseppe Dubois,ES7921000813610123456789,POPUESMM,17493.26,Bonus 2025732,"Victoria Street 349, 43107 Naples",Aldi
Maximilian Smith,DE89370400440532013000,DEUTDEFFXXX,7824.75,Maintenance 2024132,"Via Milano 234, 48527 Florence",Coop
Bianchi Corporation,DE62370400440532013001,DRESDEFF100,41511.16,Services 2024572,"Corso Italia 518, 68299 Stuttgart",Real
Sarah Johnson,DE44500105175407324931,DRESDEFF100,556.21,Salary 2025141,"Hauptstrasse 661, 76012 Rome",Mega Image
Ioana Richter,CH9300762011623852957,CRESCHZZXXX,31445.56,Retainer 2024642,"Station Road 585, 75242 Rome",Plus
Philippe Johnson,ES9121000418450200051332,POPUESMM,11609.57,Subscription 2025228,"Rue du Commerce 263, 33013 Utrecht",Migros
Antonio Fischer,RO49AAAA1B31007593840000,BTRLRO22XXX,7648.85,Support 2025034,"Bahnhofstrasse 449, 84162 Dresden",Jumbo
Francois Smith,CH9300762011623852957,UBSWCHZHXXX,6418.71,Order 2025733,"Calea Victoriei 596, 34522 Salzburg",Carrefour
Alexander Popa,RO49AAAA1B31007593840000,INGBROBU,49173.47,Retainer 2024772,"Park Avenue 134, 49646 Malaga",Plus
Lena Johnson,AT611904300234573201,RLNWATWWXXX,15056.98,Commission 2025007,"Schulstrasse 911, 86641 Dresden",Plus
Jean Miller,AT611904300234573201,GIBAATWWXXX,24082.09,Services 2024496,"Main Street 315, 90423 Malaga",Monoprix
Robert GmbH,DE89370400440532013000,INGDDEFFXXX,18621.47,Payment 2025409,"Park Avenue 685, 96597 Eindhoven",Aldi
Mueller Systems,AT611904300234573201,BKAUATWWXXX,31617.53,Invoice 2026322,"Boulevard Victor Hugo 281, 52860 Hamburg",Carrefour Romania
Marco Tudor,NL02ABNA0123456789,TRIONL2UXXX,30482.29,Bonus 2025161,"Main Street 813, 68516 Utrecht",Esselunga
Juan Schulz,FR7612548029989876543210843,CRLYFRPPXXX,6563.98,Refund 2024430,"Church Road 310, 71036 Turin",Rewe
Maria Becker,DE89370400440532013000,COBADEFFXXX,42171.25,Contract 2024884,"Church Road 454, 14773 Hamburg",Carrefour
Andreea Bianchi,AT611904300234573201,BKAUATWWXXX,46991.10,Refund 2025845,"Main Street 250, 51379 Munich",Monoprix
Constantinescu Solutions,CH5604835012345678009,CRESCHZZXXX,18321.65,Maintenance 2024079,"Church Street 107, 17683 Rome",Albert Heijn
Martin AG,FR1420041010050500013M02606,AGRIFRPPXXX,29653.02,License 2026032,"Manor Road 657, 87273 Cologne",Plus
Alain Richter,CH5604835012345678009,POFICHBEXXX,17141.60,Retainer 2024301,"Church Road 976, 18422 Barcelona",Monoprix
Ana Dumitrescu,BE68539007547034,KREDBEBB,619.32,Payment 2024288,"Avenue des Champs 196, 67229 Paris",Denner
Rodriguez KG,NL91ABNA0417164300,INGBNL2AXXX,24070.34,Order 2024637,"Plaza de España 940, 34423 Utrecht",Jumbo
Antonio Durand,DE91100000000123456789,INGDDEFFXXX,29467.66,Invoice 2026474,"Manor Road 565, 98781 Eindhoven",Aldi
Julia Hoffmann,FR7630006000011234567890189,AGRIFRPPXXX,47998.93,Subscription 2025047,"Strada Principala 481, 25055 Malaga",Denner
Marian Popescu,CH5604835012345678009,POFICHBEXXX,22144.10,Subscription 2025284,"Gartenstrasse 536, 19136 Bordeaux",Carrefour Romania
Daniela Durand,FR1420041010050500013M02606,CEPAFRPP415,3785.56,Refund 2026020,"Gartenstrasse 259, 69267 Nice",Aldi
Giuseppe Popa,BE71096123456769,GEBABEBB,41954.73,Refund 2024568,"Hauptstrasse 115, 51031 Cluj-Napoca",Carrefour Italia
Elias Tudor,FR7612548029989876543210843,BNPAFRPPXXX,30695.10,Fee 2024564,"Station Road 854, 63928 Florence",Rewe
Andrei Marin,RO66BRDE410SV38975310410,RNCBROBU,28959.45,Maintenance 2025408,"Rue du Commerce 179, 16763 Madrid",Conad
Schaefer Technologies,CH9300762011623852957,POFICHBEXXX,35424.26,Order 2026089,"Church Road 504, 74294 Turin",Carrefour Italia
Marian Bianchi,ES1000492352082414205416,SABSESMMXXX,38913.06,Credit Note 2026187,"Main Street 279, 18355 Paris",Coop
Bernard Technologies,FR7612548029989876543210843,CEPAFRPP415,46334.52,Credit Note 2025839,"Avenue des Champs 96, 58251 Dresden",Auchan
Giovanni Thomas,FR7630006000011234567890189,AGRIFRPPXXX,17172.60,Retainer 2024543,"Gartenstrasse 709, 24332 Rome",Albert Heijn
Popa Systems,FR7630006000011234567890189,CEPAFRPP415,27381.30,Bonus 2026532,"Boulevard Victor Hugo 542, 36974 Utrecht",Denner
Sophie Petit,BE71096123456769,GKCCBEBB,6976.43,Bonus 2026333,"Via Nazionale 582, 81364 Geneva",Migros
Robert GmbH,AT611904300234573201,RLNWATWWXXX,30935.06,License 2026752,"Boulevard Victor Hugo 411, 45126 Hamburg",Aldi
Cristian Richter,BE68539007547034,AXABBE22XXX,49007.71,Advance 2024412,"Rue de la Paix 89, 79393 Lille",Albert Heijn
Alain Smith,CH5604835012345678009,POFICHBEXXX,45527.90,Order 2025338,"Schulstrasse 636, 56993 Toulouse",Aldi
Gonzalez Trading,BE68539007547034,GKCCBEBB,37161.18,Subscription 2026118,"Avenue des Champs 282, 61344 Amsterdam",El Corte Inglés
Andrei Brown,DE62370400440532013001,COBADEFFXXX,48626.44,Advance 2025662,"Piazza Garibaldi 95, 44112 Milan",Alcampo
Finn Marin,AT483200000012345864,RLNWATWWXXX,29593.20,Consulting 2026802,"Bulevardul Unirii 979, 45133 Milan",Esselunga
Manuel Thomas,IT28W8000000292100645211111,BPPIITRRXXX,10470.62,Order 2025433,"Church Road 471, 61695 Berlin",Lidl
Hernandez Solutions,NL02ABNA0123456789,ABNANL2AXXX,26544.76,Services 2025048,"Via Nazionale 960, 57057 Barcelona",El Corte Inglés
Giovanni Schaefer,NL02ABNA0123456789,ABNANL2AXXX,27010.38,Contract 2025133,"Via Roma 968, 61886 Madrid",Spar
Elena Russo,BE71096123456769,GKCCBEBB,35257.60,Payment 2026671,"Church Street 181, 69397 Cologne",Auchan
Cristian Brown,AT483200000012345864,RLNWATWWXXX,2094.27,Bonus 2024012,"Rue du Commerce 788, 87571 Hamburg",Mercadona
Pierre Tudor,BE68539007547034,KREDBEBB,25457.42,Credit Note 2026205,"Via Milano 405, 73010 Hamburg",Auchan
Colombo Services,AT611904300234573201,GIBAATWWXXX,32008.39,Bonus 2026178,"Avenue des Champs 335, 42225 Toulouse",Lidl
Mia Marin,CH5604835012345678009,UBSWCHZHXXX,23488.97,Fee 2026430,"Main Street 971, 50795 Florence",Coop
Sarah Moldovan,NL91ABNA0417164300,RABONL2UXXX,44599.74,Subscription 2025466,"Rue du Commerce 240, 64353 Barcelona",Penny
Jean Durand,CH9300762011623852957,UBSWCHZHXXX,48410.37,Order 2024723,"High Street 460, 56365 Milan",Monoprix
Romano Services,AT483200000012345864,RLNWATWWXXX,19040.91,Fee 2025502,"Rue de la Paix 357, 56537 Madrid",Jumbo
Ana Robert,IT40S0542811101000000123456,BCITITMM,47219.96,Consulting 2026652,"Via Nazionale 889, 80801 Eindhoven",Aldi
Romano Enterprises,FR1420041010050500013M02606,AGRIFRPPXXX,22557.73,Order 2025086,"Calle Real 322, 84714 Utrecht",Casino
Ioana Schmidt,DE89370400440532013000,DEUTDEFFXXX,28095.99,Subscription 2024065,"Green Lane 206, 26057 Malaga",Denner
Klein Services,RO09BCYP0000001234567890,INGBROBU,3868.60,Consulting 2026294,"Rue du Commerce 955, 41870 Lyon",Monoprix
Dumitrescu Consulting,NL91ABNA0417164300,INGBNL2AXXX,28841.88,Bonus 2026618,"Schulstrasse 801, 93553 Salzburg",Mercadona
Laura Hoffmann,NL02ABNA0123456789,ABNANL2AXXX,33300.11,Order 2025192,"Bahnhofstrasse 70, 80865 Venice",Kaufland Romania
James Bernard,IT28W8000000292100645211111,UNCRITMM,16233.22,Invoice 2026109,"Rue de la Paix 719, 97297 Vienna",El Corte Inglés
Marco Davis,ES7921000813610123456789,CAIXESBBXXX,15522.88,Consulting 2026165,"Gartenstrasse 647, 25872 Madrid",Carrefour
Weber Technologies,DE62370400440532013001,DEUTDEFFXXX,20759.73,Contract 2026180,"Bulevardul Unirii 544, 11943 Munich",El Corte Inglés
Jones Technologies,FR1420041010050500013M02606,CRLYFRPPXXX,23382.85,Maintenance 2025206,"Hauptstrasse 853, 82161 Lille",Esselunga
Francisco Romano,RO49AAAA1B31007593840000,BTRLRO22XXX,22178.44,Salary 2026054,"Kirchweg 734, 16957 Cluj-Napoca",El Corte Inglés
Wagner Services,ES7921000813610123456789,SABSESMMXXX,6747.83,Bonus 2025590,"Park Avenue 675, 43268 Florence",Penny
Richard Schulz,IT28W8000000292100645211111,BPPIITRRXXX,30105.34,Order 2025943,"Gartenstrasse 155, 27125 Brussels",Casino
Colombo International,BE71096123456769,KREDBEBB,49592.59,Salary 2026159,"Rue de la Paix 523, 11919 Milan",Aldi
Fischer Partners,DE89370400440532013000,COBADEFFXXX,48249.11,License 2026357,"Green Lane 893, 70272 Bologna",Coop
Felix Thomas,BE71096123456769,KREDBEBB,19586.12,Order 2025175,"Bahnhofstrasse 875, 36882 Florence",Monoprix
Bernard Solutions,CH5604835012345678009,CRESCHZZXXX,36975.54,Salary 2026124,"Church Street 768, 68407 Florence",Kaufland
Fischer Systems,RO76BTRL01304205R50067XX,INGBROBU,31910.79,Maintenance 2025488,"Victoria Street 78, 59355 Dresden",Casino
Jacques Dubois,BE68539007547034,AXABBE22XXX,27459.10,Contract 2024068,"Schulstrasse 298, 88122 Toulouse",Conad
Ioana Mueller,BE71096123456769,GEBABEBB,18176.01,Invoice 2025932,"Manor Road 264, 93245 Antwerp",Migros
Leon Robert,NL91ABNA0417164300,INGBNL2AXXX,47851.69,Maintenance 2024383,"Hauptstrasse 303, 98897 Cologne",Coop
Schulz Solutions,NL91ABNA0417164300,RABONL2UXXX,17389.49,Salary 2025818,"Manor Road 668, 44736 Paris",Carrefour Italia
Adrian Romano,CH9300762011623852957,UBSWCHZHXXX,20285.62,Invoice 2024366,"Calle Real 851, 38154 Florence",Dia
Alexander Ionescu,CH9300762011623852957,CRESCHZZXXX,17254.80,Support 2026951,"Hauptstrasse 608, 21119 Frankfurt",Casino
Philippe Smith,NL02ABNA0123456789,TRIONL2UXXX,16888.52,Order 2024422,"Calea Victoriei 128, 17563 Toulouse",Lidl
Giovanni Durand,BE71096123456769,GEBABEBB,30622.56,Support 2024164,"Rue du Commerce 492, 59829 Lyon",Spar
Cristian Garcia,FR1420041010050500013M02606,CEPAFRPP415,31012.90,Order 2025869,"Strada Principala 904, 89542 Toulouse",Denner
Maria Colombo,FR7612548029989876543210843,BNPAFRPPXXX,30633.55,Advance 2025909,"Rue du Commerce 501, 33236 Milan",Mercadona
Adrian Stoica,ES1000492352082414205416,SABSESMMXXX,3015.02,Order 2024972,"Park Avenue 682, 78481 Bordeaux",Carrefour Romania
Hernandez Technologies,IT28W8000000292100645211111,BLOPIT22XXX,43273.41,Bonus 2026239,"Calle Real 635, 51775 Bilbao",Carrefour
Stan Group,DE44500105175407324931,COBADEFFXXX,16189.62,Support 2024366,"Via Nazionale 819, 99189 Berlin",Auchan
Laura Ferrari,AT483200000012345864,RLNWATWWXXX,36772.42,Advance 2025905,"Corso Italia 38, 83931 Berlin",Coop Schweiz
Carlos Rodriguez,CH9300762011623852957,POFICHBEXXX,12059.84,Subscription 2025806,"Avenue des Champs 156, 33644 Malaga",Carrefour
Ionescu Consulting,DE91100000000123456789,BYLADEM1XXX,12496.88,Payment 2024209,"Kirchweg 217, 23250 Brussels",Auchan
Sophie Schneider,DE27100777770209299700,BYLADEM1XXX,13420.54,Bonus 2026372,"Via Nazionale 876, 31408 Florence",Kaufland Romania
Lisa Rodriguez,RO09BCYP0000001234567890,BCYPROBUXXX,4122.11,Fee 2026476,"Calle Mayor 205, 83969 Toulouse",Albert Heijn
Klein GmbH,ES9121000418450200051332,SABSESMMXXX,12382.27,Maintenance 2025405,"Bulevardul Unirii 154, 93986 Nice",Mercadona
Leon Stoica,BE71096123456769,KREDBEBB,48241.65,Refund 2024295,"Gartenstrasse 912, 80087 Rome",Casino
Francesco Smith,AT611904300234573201,GIBAATWWXXX,49257.72,Credit Note 2024045,"Boulevard Victor Hugo 791, 79971 Vienna",Mega Image
Gabriela Schneider,IT40S0542811101000000123456,UNCRITMM,38447.43,Retainer 2024654,"Bulevardul Unirii 528, 60047 Lille",Carrefour
Tudor Group,DE91100000000123456789,DEUTDEFFXXX,27981.84,Fee 2024599,"Calle Mayor 829, 49369 Cluj-Napoca",Coop Schweiz
Pierre Miller,ES1000492352082414205416,POPUESMM,37489.78,Order 2024443,"Piazza Garibaldi 421, 63818 Amsterdam",Carrefour Romania
Dubois Industries,AT483200000012345864,GIBAATWWXXX,3088.44,Bonus 2026887,"Bahnhofstrasse 658, 34044 Brussels",Conad
Popa KG,IT28W8000000292100645211111,BCITITMM,13320.43,Consulting 2026626,"Bulevardul Unirii 672, 84197 Bucharest",Coop
Anna Petit,ES1000492352082414205416,SABSESMMXXX,37714.70,Refund 2025763,"Piazza Garibaldi 878, 44408 Antwerp",Monoprix
Becker AG,IT40S0542811101000000123456,BLOPIT22XXX,32370.98,Order 2024060,"Kirchweg 423, 28454 Geneva",Carrefour Italia
Philippe Tudor,IT28W8000000292100645211111,BLOPIT22XXX,41969.04,Invoice 2026811,"Kirchweg 728, 70017 Antwerp",Monoprix
James Martin,ES1000492352082414205416,BBVAESMM,29122.77,Subscription 2024707,"Plaza de España 129, 84557 Cologne",Leclerc
Elias Moldovan,FR1420041010050500013M02606,CEPAFRPP415,23654.27,Consulting 2024238,"Avenida Principal 868, 70823 Rome",Spar
Ben Martinez,IT60X0542811101000000123456,UNCRITMM,13457.89,Bonus 2024308,"Victoria Street 612, 98141 Rotterdam",Edeka
William Moldovan,NL91ABNA0417164300,TRIONL2UXXX,17364.21,Salary 2025144,"Corso Italia 252, 16740 Eindhoven",Penny
Andreea Tudor,RO66BRDE410SV38975310410,BTRLRO22XXX,39647.09,Payment 2025225,"Plaza de España 464, 69407 Zurich",Kaufland
Alain Weber,BE68539007547034,AXABBE22XXX,19756.25,Fee 2024800,"Calle Mayor 803, 29383 Antwerp",Mercadona
Clara Williams,IT28W8000000292100645211111,BCITITMM,29159.29,Consulting 2024302,"High Street 131, 96219 Milan",El Corte Inglés
Francisco Rossi,IT40S0542811101000000123456,BPPIITRRXXX,19627.98,Maintenance 2024012,"Manor Road 297, 19386 Zurich",Edeka
Juan Gonzalez,CH9300762011623852957,UBSWCHZHXXX,18726.44,Invoice 2025845,"Plaza de España 270, 11346 Barcelona",Plus
Andreea Stoica,NL91ABNA0417164300,ABNANL2AXXX,36987.91,Fee 2025834,"Calea Victoriei 126, 12391 Eindhoven",Albert Heijn
Anna Bianchi,RO09BCYP0000001234567890,INGBROBU,48518.54,Retainer 2024080,"Calle Real 267, 58530 Dresden",Auchan
Martin Technologies,NL02ABNA0123456789,ABNANL2AXXX,36628.17,Credit Note 2024496,"Station Road 132, 98095 Utrecht",Migros
Smith Solutions,ES1000492352082414205416,POPUESMM,3477.07,Subscription 2024098,"Calle Mayor 302, 21818 Salzburg",Carrefour Italia
Leon Schneider,IT28W8000000292100645211111,BPPIITRRXXX,3239.10,Credit Note 2025065,"Bahnhofstrasse 326, 45432 Bologna",Carrefour
Michel Ferrari,DE62370400440532013001,DRESDEFF100,8306.06,License 2024025,"Corso Italia 436, 63495 Malaga",Jumbo
Schneider Services,CH5604835012345678009,POFICHBEXXX,39311.31,Payment 2024981,"Piazza Garibaldi 678, 10671 Hamburg",Conad
Philippe Ionescu,BE71096123456769,AXABBE22XXX,37022.18,Fee 2026795,"Boulevard Victor Hugo 351, 96214 Marseille",Kaufland
Esposito Group,ES1000492352082414205416,SABSESMMXXX,30542.81,Commission 2026652,"Hauptstrasse 224, 58834 Brussels",Mega Image
Davis GmbH,NL91ABNA0417164300,INGBNL2AXXX,21567.33,Credit Note 2024365,"Schulstrasse 601, 38842 Barcelona",Conad
Stoica GmbH,NL02ABNA0123456789,INGBNL2AXXX,34760.59,Credit Note 2024250,"Avenue des Champs 832, 95515 Vienna",Jumbo
William Stoica,ES9121000418450200051332,CAIXESBBXXX,8375.52,Salary 2025709,"Park Avenue 11, 79756 Bordeaux",Plus
David Marin,DE91100000000123456789,DEUTDEFFXXX,32365.10,Fee 2025845,"Schulstrasse 652, 58702 Barcelona",Mercadona
Jean Richter,BE71096123456769,KREDBEBB,49374.25,Commission 2024435,"Schulstrasse 640, 85431 Madrid",El Corte Inglés
Ana Romano,NL02ABNA0123456789,INGBNL2AXXX,26879.30,Services 2026215,"Bahnhofstrasse 430, 84884 Paris",Penny
Popescu AG,AT611904300234573201,RLNWATWWXXX,26447.32,Subscription 2025803,"Rue de la Paix 232, 12937 Malaga",Monoprix
Giuseppe Tudor,RO76BTRL01304205R50067XX,RNCBROBU,2368.64,License 2025025,"Boulevard Victor Hugo 708, 53470 Rome",Jumbo
Andreea Gonzalez,IT60X0542811101000000123456,UNCRITMM,19580.46,Commission 2026616,"Kirchweg 432, 59162 Toulouse",Kaufland
David Martin,BE68539007547034,GKCCBEBB,25633.79,Retainer 2026951,"Park Road 781, 73003 Zurich",Casino
Finn Durand,RO09BCYP0000001234567890,BTRLRO22XXX,24923.54,Contract 2026441,"Via Nazionale 284, 88424 Bordeaux",Coop Schweiz
Alexandru Romano,DE62370400440532013001,INGDDEFFXXX,29249.71,Advance 2025490,"Corso Italia 337, 31409 Madrid",Monoprix
Becker Systems,AT611904300234573201,GIBAATWWXXX,45622.60,Maintenance 2024810,"Via Nazionale 478, 22965 Zurich",Denner
Pierre Rodriguez,CH5604835012345678009,CRESCHZZXXX,38787.46,Services 2025452,"Corso Italia 952, 64500 Vienna",Monoprix
Meyer Logistics,DE62370400440532013001,INGDDEFFXXX,21347.12,License 2026017,"Calle Mayor 371, 30014 Cologne",Kaufland Romania
Elias Johnson,DE62370400440532013001,COBADEFFXXX,46254.71,License 2024847,"Rue de la Paix 445, 87311 Cologne",Mega Image
Ana Stoica,RO66BRDE410SV38975310410,BCYPROBUXXX,13074.06,Subscription 2024359,"Bulevardul Unirii 138, 79494 Malaga",Kaufland
Laura Weber,DE62370400440532013001,DRESDEFF100,36861.90,Subscription 2024271,"Calle Real 921, 22444 Florence",Carrefour
Robert Holdings,FR7630006000011234567890189,BNPAFRPPXXX,15521.29,Advance 2026000,"Church Road 515, 57263 Madrid",Dia
Andrei Miller,DE27100777770209299700,INGDDEFFXXX,48774.92,Maintenance 2025645,"Gartenstrasse 49, 17785 Seville",Esselunga
Ion Weber,IT60X0542811101000000123456,BCITITMM,28951.11,Fee 2026125,"Church Road 822, 17358 Milan",Esselunga
Francesco Popa,CH5604835012345678009,CRESCHZZXXX,39532.46,Services 2025421,"Bahnhofstrasse 239, 12974 Florence",Casino
Andrei Rossi,NL02ABNA0123456789,TRIONL2UXXX,19445.37,Contract 2024930,"Plaza de España 483, 56432 Venice",Dia
Giuseppe Stoica,NL02ABNA0123456789,RABONL2UXXX,10173.56,Maintenance 2025933,"Church Road 961, 57244 Nice",Auchan
Richard Barbu,BE71096123456769,KREDBEBB,41717.33,Invoice 2026964,"Hauptstrasse 297, 84153 Paris",Mega Image
Jean Fischer,RO09BCYP0000001234567890,BCYPROBUXXX,29711.63,Consulting 2026968,"Church Street 475, 36918 Geneva",Carrefour Italia
Michael Popa,CH9300762011623852957,CRESCHZZXXX,14586.71,Subscription 2025015,"Rue de la Paix 359, 67703 Paris",Casino
Alessandro Koch,NL91ABNA0417164300,ABNANL2AXXX,11849.03,License 2026162,"Calle Mayor 452, 60890 Stuttgart",Auchan
Philippe Marin,DE62370400440532013001,INGDDEFFXXX,3730.58,Fee 2024590,"Kirchweg 60, 57289 Cologne",Leclerc
Pierre Stoica,RO66BRDE410SV38975310410,BCYPROBUXXX,40694.82,Advance 2024248,"Green Lane 632, 31500 Malaga",Dia
Jonas Ferrari,ES1000492352082414205416,BSCHESMM,25936.29,Order 2025461,"Church Road 215, 74800 Marseille",Casino
Lisa Esposito,DE62370400440532013001,DRESDEFF100,15278.47,Services 2026967,"Piazza Garibaldi 744, 22539 Eindhoven",Kaufland Romania
Adrian Garcia,AT611904300234573201,RLNWATWWXXX,37725.98,Commission 2025766,"Manor Road 414, 57148 Bologna",Leclerc
Bernard GmbH,ES1000492352082414205416,POPUESMM,28652.98,Invoice 2025827,"Schulstrasse 351, 36753 Cologne",Monoprix
Constantinescu Technologies,RO49AAAA1B31007593840000,BCYPROBUXXX,13993.36,Bonus 2024749,"Piazza Garibaldi 861, 43371 Utrecht",Mega Image
Robert Colombo,ES9121000418450200051332,BBVAESMM,47243.33,Consulting 2026507,"Piazza Garibaldi 181, 10599 Eindhoven",Denner
Johnson Partners,FR7630006000011234567890189,AGRIFRPPXXX,722.10,Services 2026101,"Kirchweg 473, 74352 Zurich",Leclerc
Gheorghiu Corporation,FR7612548029989876543210843,BNPAFRPPXXX,15962.58,Consulting 2025253,"Park Road 271, 55821 Cologne",Spar
Alina Constantinescu,AT483200000012345864,GIBAATWWXXX,13860.85,Subscription 2025770,"Green Lane 290, 31513 Utrecht",Mega Image
